epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.03488,0.84037,2.78908,1.19342,0.00439,1,0.20688,0.15271,0.44963,2.73559,0.88165,1.667e-05,1.667e-05,1.667e-05
2,2.57942,1.15118,2.92922,1.4562,0.00432,1,0.18426,0.14546,0.45851,2.73626,0.88258,4.80296e-05,4.80296e-05,4.80296e-05
3,3.0129,0.96178,2.86402,1.24888,0.0042,1,0.19781,0.14404,0.46325,2.74058,0.89447,7.67487e-05,7.67487e-05,7.67487e-05
4,3.53659,0.92077,2.8141,1.23759,0.00403,1,0.22292,0.17888,0.46044,2.75264,0.93658,0.000102827,0.000102827,0.000102827
5,4.02821,0.73906,2.68341,1.14194,0.00386,1,0.30906,0.26331,0.50058,2.76182,1.00422,0.000126265,0.000126265,0.000126265
6,4.52771,0.61693,2.55544,1.1066,0.00382,1,0.3978,0.34836,0.53523,2.77255,1.07613,0.000147063,0.000147063,0.000147063
7,5.0178,0.78773,2.39764,1.19449,0.00381,1,0.49162,0.42046,0.58687,2.72978,1.12453,0.00016522,0.00016522,0.00016522
8,5.50306,0.68031,2.2018,1.1183,0.00381,1,0.52238,0.43964,0.559,2.6627,1.0802,0.000180736,0.000180736,0.000180736
9,5.98342,0.85536,2.29437,1.22118,0.00381,1,0.53017,0.45074,0.57037,2.62217,1.07804,0.000193612,0.000193612,0.000193612
10,6.45007,0.60244,1.97341,1.08293,0.00381,1,0.57321,0.48088,0.60574,2.61339,1.10893,0.000203847,0.000203847,0.000203847
11,6.93266,0.50149,1.82503,1.02942,0.00381,1,0.53275,0.47309,0.59186,2.56892,1.103,0.000211442,0.000211442,0.000211442
12,7.39259,0.65505,1.96703,1.06821,0.00381,1,0.50656,0.46152,0.56949,2.51729,1.10409,0.000216397,0.000216397,0.000216397
13,7.86386,0.73985,1.98434,1.12793,0.00381,1,0.50631,0.46132,0.62184,2.47906,1.10979,0.00021871,0.00021871,0.00021871
14,8.33194,0.77519,1.93262,1.16846,0.00382,1,0.58864,0.53175,0.65972,2.44192,1.1376,0.000218384,0.000218384,0.000218384
15,8.83279,0.73334,1.72179,1.13756,0.00332,0.875,0.58821,0.5358,0.63928,2.41865,1.1519,0.000215416,0.000215416,0.000215416
16,10.1619,0.46745,1.66438,1.06154,0.38926,0.75,0.62913,0.53488,0.74478,2.39335,1.22887,0.000209809,0.000209809,0.000209809
17,10.776,0.72269,1.72252,1.18919,1,0.34267,0.59698,0.48191,0.89564,2.33919,1.35579,0.00020156,0.00020156,0.00020156
18,11.2415,0.49558,1.50875,1.01613,1,0.44457,0.62196,0.46565,1.02639,2.21605,1.48293,0.000190671,0.000190671,0.000190671
19,11.737,0.56757,1.44647,1.13313,0.73252,0.72549,0.70468,0.48044,1.12793,2.11653,1.5655,0.000177142,0.000177142,0.000177142
20,12.2304,0.48658,1.35558,1.03936,0.88542,0.70554,0.74639,0.522,1.13806,2.09943,1.55822,0.000160972,0.000160972,0.000160972
21,12.7281,0.42362,1.28654,0.95726,0.82178,0.68624,0.74641,0.51173,1.0853,2.15453,1.50507,0.000142162,0.000142162,0.000142162
22,13.2019,0.39105,1.29798,1.00473,0.7379,0.625,0.72123,0.54569,0.98121,2.20966,1.40631,0.000120711,0.000120711,0.000120711
23,13.6827,0.46142,1.24812,1.0198,0.76265,0.61802,0.6827,0.56067,0.93523,2.22325,1.35163,9.66193e-05,9.66193e-05,9.66193e-05
24,14.1704,0.45406,1.19077,1.03499,0.76576,0.53869,0.71714,0.54957,0.90774,2.20587,1.30104,6.98873e-05,6.98873e-05,6.98873e-05
25,14.687,0.47916,1.24572,1.05168,0.71742,0.47556,0.744,0.59316,0.85842,2.16452,1.24494,4.05148e-05,4.05148e-05,4.05148e-05
